Date,Time,Crypto,Open,High,Low,Close,Volume,ChangeV,ChangeP
5/13/21,8:00:00,Binance,622.84,626.78,602.54,603.45,166412.8811,110.2,-3.11
5/13/21,7:00:00,Binance,633.06,633.5,620.31,622.83,79145.5798,-27.9,-1.61
5/13/21,6:00:00,Binance,621.71,633.28,621.12,633.06,109894.2854,-19.4,1.827
5/13/21,5:00:00,Binance,609.06,624.99,608.67,621.7,136405.7081,34.81,2.073
5/13/21,4:00:00,Binance,607.56,613.24,604.12,609.07,101176.6067,-32,0.251
5/13/21,3:00:00,Binance,611.09,611.09,592.57,607.54,148800.8031,15.57,-0.57
5/13/21,2:00:00,Binance,617.81,619.29,610.62,611.08,128751.9488,-62.2,-1.07
5/13/21,1:00:00,Binance,601.57,624,595.66,617.74,340965.257,-47.4,2.66
5/13/21,0:00:00,Binance,594.2,615.91,541.83,601.73,648538.5501,50.26,1.19
5/12/21,23:00:00,Binance,637.98,638.03,581.4,594.65,431605.5624,58.07,-6.77
5/12/21,22:00:00,Binance,648.64,650,621,637.87,273033.2254,441.7,-1.66
5/12/21,21:00:00,Binance,645.87,651,643.7,648.64,50395.4603,-35.6,0.427
5/12/21,20:00:00,Binance,642.14,646,637.77,645.88,78257.5444,-44.2,0.579
5/12/21,19:00:00,Binance,634.72,643.13,624,642.16,140249.2131,-26.7,1.17
5/12/21,18:00:00,Binance,644.36,646.26,626.7,634.73,191428.9582,96.63,-1.49
5/12/21,17:00:00,Binance,645.79,650.65,640.01,644.35,97351.6311,-64.6,-0.21
5/12/21,16:00:00,Binance,649.72,650.86,632.48,645.72,275652.8665,98,-0.61
5/12/21,15:00:00,Binance,661.42,662,649.63,649.72,139218.0988,50.37,-1.76
5/12/21,14:00:00,Binance,667.27,670,659.41,661.37,92580.3149,-5.62,-0.89
5/12/21,13:00:00,Binance,665.63,668.52,655.2,667.36,98099.27,17.16,0.259
5/12/21,12:00:00,Binance,663.99,668.35,661.54,665.63,83729.1204,21.34,0.246
5/12/21,11:00:00,Binance,659,665.38,657.11,663.99,69000.6012,-20.8,0.757
5/12/21,10:00:00,Binance,668.97,668.97,658.54,659,87154.9121,54.76,-1.48
5/12/21,9:00:00,Binance,667.14,672,666.05,668.96,56314.0542,-33.6,0.257
5/12/21,8:00:00,Binance,670.65,672.51,662.4,667.24,84880.5282,76.71,-0.49
5/12/21,7:00:00,Binance,669.02,672.82,668.35,670.58,48033.013,-37.8,0.233
5/12/21,6:00:00,Binance,676.33,679.48,667.5,669.02,77276.2265,59.86,-1.08
5/12/21,5:00:00,Binance,677.2,679.89,675,676.33,48338.8489,-38.6,-0.12
5/12/21,4:00:00,Binance,683.24,684.4,674.17,677.2,78794.7668,-18,-0.88
5/12/21,3:00:00,Binance,677.02,684.91,674.85,683.23,96091.9808,21.14,0.918
5/12/21,2:00:00,Binance,672.61,678.9,670.48,677.01,79318.3252,30.67,0.654
5/12/21,1:00:00,Binance,672.94,674.9,670.12,672.61,60698.1997,-20.4,-0.04
5/20/21,23:00:00,Ethereum,2841.15000000,2859.66000000,2739.00000000,2768.62000000,86328.06149000,42.37,-2.57
5/20/21,22:00:00,Ethereum,2836.39000000,2861.84000000,2689.00000000,2841.81000000,60632.26221000,85.33,0.202
5/20/21,21:00:00,Ethereum,2759.39000000,2838.51000000,2724.32000000,2836.06000000,32715.36889000,-43,2.778
5/20/21,20:00:00,Ethereum,2782.81000000,2832.00000000,2742.91000000,2759.38000000,57400.68481000,-0.69,-0.82
5/20/21,19:00:00,Ethereum,2781.30000000,2819.86000000,2748.09000000,2782.41000000,57802.55956000,-21.3,0.039
5/20/21,18:00:00,Ethereum,2758.50000000,2810.00000000,2715.00000000,2781.30000000,73492.71086000,-24.8,0.832
5/20/21,17:00:00,Ethereum,2700.47000000,2778.99000000,2640.00000000,2758.33000000,97770.71499000,-62.5,2.141
5/20/21,16:00:00,Ethereum,2903.97000000,2905.70000000,2581.00000000,2700.50000000,261257.97582000,217.4,-7
5/20/21,15:00:00,Ethereum,2894.28000000,2956.89000000,2859.15000000,2903.99000000,82309.47958000,-21.6,0.335
5/20/21,14:00:00,Ethereum,2904.89000000,2967.00000000,2863.25000000,2894.28000000,104999.19870000,-30.6,-0.33
5/20/21,13:00:00,Ethereum,2874.84000000,2990.05000000,2842.00000000,2904.15000000,151321.30179000,3.204,1.019
5/20/21,12:00:00,Ethereum,2754.40000000,2902.50000000,2708.01000000,2874.84000000,146622.56315000,66.19,4.372
5/20/21,11:00:00,Ethereum,2711.09000000,2758.99000000,2670.32000000,2754.41000000,88222.66384000,-4.19,1.636
5/20/21,10:00:00,Ethereum,2672.56000000,2720.00000000,2643.92000000,2710.05000000,92083.16266000,-20.1,1.403
5/20/21,9:00:00,Ethereum,2694.54000000,2700.24000000,2567.06000000,2672.55000000,115316.81944000,20.51,-0.81
5/20/21,8:00:00,Ethereum,2712.68000000,2747.36000000,2655.98000000,2694.55000000,95685.43143000,-28.1,-0.66
5/20/21,7:00:00,Ethereum,2645.75000000,2779.00000000,2645.25000000,2712.69000000,133161.50338000,23.83,2.549
5/20/21,6:00:00,Ethereum,2655.43000000,2690.29000000,2576.76000000,2645.25000000,107529.55370000,-22.1,-0.38
5/20/21,5:00:00,Ethereum,2563.80000000,2695.00000000,2559.71000000,2655.47000000,138161.48289000,-0.06,3.564
5/20/21,4:00:00,Ethereum,2472.46000000,2592.46000000,2454.82000000,2564.07000000,138257.60833000,16.71,3.705
5/20/21,3:00:00,Ethereum,2465.83000000,2500.00000000,2389.90000000,2472.46000000,118458.24304000,-29,0.271
5/20/21,2:00:00,Ethereum,2338.51000000,2483.40000000,2318.58000000,2465.76000000,167039.73575000,-33.1,5.443
5/20/21,1:00:00,Ethereum,2231.96000000,2388.00000000,2172.77000000,2338.47000000,249701.00788000,-12.8,4.821
5/20/21,0:00:00,Ethereum,2438.92000000,2546.03000000,2155.00000000,2230.90000000,286507.83591000,131.5,-8.52
5/19/21,23:00:00,Ethereum,2658.08000000,2674.57000000,2429.00000000,2438.92000000,123756.03619000,21.88,-8.2
5/19/21,22:00:00,Ethereum,2586.30000000,2714.28000000,2550.00000000,2657.00000000,101536.88121000,3.757,2.736
5/19/21,21:00:00,Ethereum,2523.01000000,2598.54000000,2427.50000000,2586.24000000,97859.71612000,-8.38,2.494
5/19/21,20:00:00,Ethereum,2601.13000000,2717.42000000,2516.00000000,2523.30000000,106813.71484000,-9.08,-2.99
5/19/21,19:00:00,Ethereum,2604.65000000,2680.00000000,2556.18000000,2601.13000000,117489.40973000,-24.4,-0.12
5/19/21,18:00:00,Ethereum,2767.69000000,2789.96000000,2555.00000000,2604.36000000,155474.07415000,-12.1,-5.94
5/19/21,17:00:00,Ethereum,2851.93000000,2920.44000000,2726.94000000,2768.89000000,176882.63424000,-28,-2.93
5/19/21,16:00:00,Ethereum,2741.44000000,2895.00000000,2601.00000000,2852.60000000,245675.27628000,-17.6,4.01
